nct_id,section,signal_type,label,detail,source_sentence
NCT00823654,exclusion,biomarker,BRCA2 positive,BRCA2:positive,"Participant is currently pregnant. For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1\. Subjects who did not undergo mutation testing, as well as those who tested positive for more than one family (BRCA1, BRCA2, non-BRCA) of ATM-Pathway gene mutations, will be excluded. 2\. Women aged \>42 years will be excluded as they carry a very high probability of chemotherapy-induced OI49. It is important to select an age range where immediate OI is less likely to occur because if most women become menopausal post-chemotherapy, the comparison of ovarian reserve decline will not be feasible. 3. In our prior grant period, we showed that the AC-based and CMF regimens similarly compromise ovarian reserve (Fig. 1)9 Currently, the AC-based chemotherapy is utilized in \>90% breast ca cases, and CMF protocol is rarely administered9. For this reason and to enhance uniformity, rare non-AC-based protocols will be excluded. 4. A previous study showed that smoking and BRCA mutations may have additive negative effects on the age of menopause27, consequently, we will exclude current smokers (smoked 100 cigarettes lifetime and currently smokes, per CDC). Based on our past studies6,9, the smoking incidence is low in our study population (\<20%) and should not significantly limit accrual. 5\. BMI: In our recent publication9 (Fig. 1), the mean BMI was 24.22 ±0.4 (median 23.2; range 17-42); hence the extreme BMI values are rare in our population. Nevertheless, those with BMI of \<18.5 and \>40 will be excluded."
NCT00823654,exclusion,biomarker,BRCA2 positive,BRCA2:positive,"Participant is currently pregnant. For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1\. Subjects who did not undergo mutation testing, as well as those who tested positive for more than one family (BRCA1, BRCA2, non-BRCA) of ATM-Pathway gene mutations, will be excluded. 2\. Women aged \>42 years will be excluded as they carry a very high probability of chemotherapy-induced OI49. It is important to select an age range where immediate OI is less likely to occur because if most women become menopausal post-chemotherapy, the comparison of ovarian reserve decline will not be feasible. 3. In our prior grant period, we showed that the AC-based and CMF regimens similarly compromise ovarian reserve (Fig. 1)9 Currently, the AC-based chemotherapy is utilized in \>90% breast ca cases, and CMF protocol is rarely administered9. For this reason and to enhance uniformity, rare non-AC-based protocols will be excluded. 4. A previous study showed that smoking and BRCA mutations may have additive negative effects on the age of menopause27, consequently, we will exclude current smokers (smoked 100 cigarettes lifetime and currently smokes, per CDC). Based on our past studies6,9, the smoking incidence is low in our study population (\<20%) and should not significantly limit accrual. 5\. BMI: In our recent publication9 (Fig. 1), the mean BMI was 24.22 ±0.4 (median 23.2; range 17-42); hence the extreme BMI values are rare in our population. Nevertheless, those with BMI of \<18.5 and \>40 will be excluded."
NCT00823654,exclusion,biomarker,BRCA mentioned,BRCA:unspecified,"Participant is currently pregnant. For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1\. Subjects who did not undergo mutation testing, as well as those who tested positive for more than one family (BRCA1, BRCA2, non-BRCA) of ATM-Pathway gene mutations, will be excluded. 2\. Women aged \>42 years will be excluded as they carry a very high probability of chemotherapy-induced OI49. It is important to select an age range where immediate OI is less likely to occur because if most women become menopausal post-chemotherapy, the comparison of ovarian reserve decline will not be feasible. 3. In our prior grant period, we showed that the AC-based and CMF regimens similarly compromise ovarian reserve (Fig. 1)9 Currently, the AC-based chemotherapy is utilized in \>90% breast ca cases, and CMF protocol is rarely administered9. For this reason and to enhance uniformity, rare non-AC-based protocols will be excluded. 4. A previous study showed that smoking and BRCA mutations may have additive negative effects on the age of menopause27, consequently, we will exclude current smokers (smoked 100 cigarettes lifetime and currently smokes, per CDC). Based on our past studies6,9, the smoking incidence is low in our study population (\<20%) and should not significantly limit accrual. 5\. BMI: In our recent publication9 (Fig. 1), the mean BMI was 24.22 ±0.4 (median 23.2; range 17-42); hence the extreme BMI values are rare in our population. Nevertheless, those with BMI of \<18.5 and \>40 will be excluded."
NCT00823654,exclusion,biomarker,BRCA mentioned,BRCA:unspecified,"Participant is currently pregnant. For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1\. Subjects who did not undergo mutation testing, as well as those who tested positive for more than one family (BRCA1, BRCA2, non-BRCA) of ATM-Pathway gene mutations, will be excluded. 2\. Women aged \>42 years will be excluded as they carry a very high probability of chemotherapy-induced OI49. It is important to select an age range where immediate OI is less likely to occur because if most women become menopausal post-chemotherapy, the comparison of ovarian reserve decline will not be feasible. 3. In our prior grant period, we showed that the AC-based and CMF regimens similarly compromise ovarian reserve (Fig. 1)9 Currently, the AC-based chemotherapy is utilized in \>90% breast ca cases, and CMF protocol is rarely administered9. For this reason and to enhance uniformity, rare non-AC-based protocols will be excluded. 4. A previous study showed that smoking and BRCA mutations may have additive negative effects on the age of menopause27, consequently, we will exclude current smokers (smoked 100 cigarettes lifetime and currently smokes, per CDC). Based on our past studies6,9, the smoking incidence is low in our study population (\<20%) and should not significantly limit accrual. 5\. BMI: In our recent publication9 (Fig. 1), the mean BMI was 24.22 ±0.4 (median 23.2; range 17-42); hence the extreme BMI values are rare in our population. Nevertheless, those with BMI of \<18.5 and \>40 will be excluded."
NCT00823654,exclusion,biomarker,BRCA negative,BRCA:negative,"Participant is currently pregnant. For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1\. Subjects who did not undergo mutation testing, as well as those who tested positive for more than one family (BRCA1, BRCA2, non-BRCA) of ATM-Pathway gene mutations, will be excluded. 2\. Women aged \>42 years will be excluded as they carry a very high probability of chemotherapy-induced OI49. It is important to select an age range where immediate OI is less likely to occur because if most women become menopausal post-chemotherapy, the comparison of ovarian reserve decline will not be feasible. 3. In our prior grant period, we showed that the AC-based and CMF regimens similarly compromise ovarian reserve (Fig. 1)9 Currently, the AC-based chemotherapy is utilized in \>90% breast ca cases, and CMF protocol is rarely administered9. For this reason and to enhance uniformity, rare non-AC-based protocols will be excluded. 4. A previous study showed that smoking and BRCA mutations may have additive negative effects on the age of menopause27, consequently, we will exclude current smokers (smoked 100 cigarettes lifetime and currently smokes, per CDC). Based on our past studies6,9, the smoking incidence is low in our study population (\<20%) and should not significantly limit accrual. 5\. BMI: In our recent publication9 (Fig. 1), the mean BMI was 24.22 ±0.4 (median 23.2; range 17-42); hence the extreme BMI values are rare in our population. Nevertheless, those with BMI of \<18.5 and \>40 will be excluded."
NCT01000883,inclusion,ecog,ECOG 0–2,0-2,ECOG performance status 0 - 2.
NCT01034033,inclusion,biomarker,BRCA1 positive,BRCA1:positive,"Women who have a high risk of developing breast or ovarian cancer due to a known germline mutation in the BRCA1/2, PTEN, CDH1, or TP53 cancer susceptibility genes, or due to strong family history of either breast or ovarian cancer, in the absence of known cancer susceptibility gene mutation."
NCT01042379,inclusion,ecog,ECOG 0–1,0-1,ECOG performance status 0-1
NCT01042379,inclusion,biomarker,HER2 positive,HER2:positive,"Tumor assay profile must include on of the following: MammaPrint High, any ER status, any HER2 status, or MammaPrint Low, ER negative (\<5%), any HER2 status, or MammaPrint Low, ER positive, HER2/neu positive by any one of the three methods used (IHC, FISH, TargetPrint™)"
NCT01042379,inclusion,biomarker,HER2 negative,HER2:negative,"Tumor assay profile must include on of the following: MammaPrint High, any ER status, any HER2 status, or MammaPrint Low, ER negative (\<5%), any HER2 status, or MammaPrint Low, ER positive, HER2/neu positive by any one of the three methods used (IHC, FISH, TargetPrint™)"
NCT01042379,inclusion,biomarker,HER2 negative,HER2:negative,"Tumor assay profile must include on of the following: MammaPrint High, any ER status, any HER2 status, or MammaPrint Low, ER negative (\<5%), any HER2 status, or MammaPrint Low, ER positive, HER2/neu positive by any one of the three methods used (IHC, FISH, TargetPrint™)"
NCT01174121,inclusion,ecog,ECOG 0,0-0,Clinical performance status of ECOG 0 or 1.
NCT01174121,exclusion,biomarker,PD-L1 mentioned,PD-L1:unspecified,Grade 3 or 4 major organ irAEs clinically attributed to anti-PD-1/PD-L1 therapy.
NCT01365169,inclusion,ecog,ECOG 0–2,0-2,"Eastern Cooperative Oncology Group (ECOG) status of 0 - 2, or self-reports being up and about more than 50% of waking hours and able to provide self-care (Arm 1)"
NCT01365169,inclusion,ecog,ECOG 0–3,0-3,ECOG performance status score between 0-3 (TAPS study)
NCT01492972,inclusion,ecog,ECOG 0–1,0-1,ECOG performance status 0-1 (appendix II) assessed within 90 days of randomization.
NCT01530373,exclusion,ecog,ECOG 2,2-2,ECOG status \> 2 (in bed more than 50% of day)
NCT01639508,inclusion,biomarker,MET positive,MET:positive,"Group B: any of the following aberrations ii. NTRK fusion iii. MET overexpression, amplification, or mutation iv. AXL overexpression, amplification, or mutation"
NCT01639508,inclusion,biomarker,NTRK positive,NTRK:positive,"Group B: any of the following aberrations ii. NTRK fusion iii. MET overexpression, amplification, or mutation iv. AXL overexpression, amplification, or mutation"
NCT01639508,inclusion,biomarker,ROS1 positive,ROS1:positive,Group C: ROS1 fusion
NCT01720836,inclusion,ecog,ECOG 0–1,0-1,ECOG performance status 0-1(Appendix A)
NCT01766297,inclusion,biomarker,HER2 negative,HER2:negative,"For tumors that are invasive, HER2 must be performed (positive or negative is acceptable)."
NCT01766297,exclusion,biomarker,BRCA positive,BRCA:positive,Known BRCA 1 or BRCA 2 mutation.
NCT01766297,exclusion,biomarker,BRCA positive,BRCA:positive,Known BRCA 1 or BRCA 2 mutation.
NCT01834001,inclusion,ecog,ECOG 2,2-2,ECOG performance status \<2 (Karnofsky \>60%).
NCT01834001,inclusion,ecog,ECOG 2,2-2,ECOG performance status less than or equal to 2 (Karnofsky greater than or equal to 60%).
NCT02000089,inclusion,biomarker,BRCA1 mentioned,BRCA1:unspecified,"Confirmed germline mutation carrier (BRCA2, FAMMM (CDKN2A/p16), PALB2, BRCA1, ATM, HNPCC, Lynch Syndrome (hMLH1, hMSH2, PMS2, hMSH6, EpCAM) PRSS1, PRSS2, R122H, N291l, SPINK1, CFTR"
NCT02000089,inclusion,biomarker,BRCA2 positive,BRCA2:positive,"Confirmed germline mutation carrier (BRCA2, FAMMM (CDKN2A/p16), PALB2, BRCA1, ATM, HNPCC, Lynch Syndrome (hMLH1, hMSH2, PMS2, hMSH6, EpCAM) PRSS1, PRSS2, R122H, N291l, SPINK1, CFTR"
NCT02016248,inclusion,ecog,ECOG 0–1,0-1,Eastern Cooperative Oncology Group (ECOG) performance status 0-1
NCT02064673,inclusion,ecog,ECOG 0–2,0-2,Eastern Cooperative Oncology Group(ECOG) status 0-2
NCT02133196,inclusion,ecog,ECOG 0,0-0,Clinical performance status of ECOG 0 or 1.
NCT02172651,inclusion,ecog,ECOG 0–1,0-1,ECOG performance status ≤ 1 (see Appendix A)
NCT02302742,inclusion,biomarker,BRCA mentioned,BRCA:unspecified,"Patients with deleterious or uncertain mutations in HBOC genes (BRCA, PTEN, P53, -PALB2 etc) are eligible regardless of type/site of cancer"
NCT02422641,inclusion,ecog,ECOG 0–1,0-1,Eastern Cooperative Group (ECOG) Performance Scale 0-1 (see Appendix I)
NCT02422641,inclusion,biomarker,HER2 negative,HER2:negative,"TRIPLE NEGATIVE (ER-negative, PR-negative, and HER2-negative disease). Triple-negative patients will be defined per ASCO-CAP Guidelines."
NCT02422641,inclusion,biomarker,HER2 positive,HER2:positive,HER2-POSITIVE: HER2-positive patients will be defined per ASCO-CAP Guidelines.
NCT02422641,inclusion,biomarker,HER2 positive,HER2:positive,HER2-POSITIVE: HER2-positive patients will be defined per ASCO-CAP Guidelines.
NCT02422641,inclusion,biomarker,HER2 positive,HER2:positive,"HORMONE REFRACTORY: Patients with ER/PR-positive disease according to ASCO-CAP guidelines above may be considered if they have disease progression after two lines of hormonal therapy (administered in the adjuvant or metastatic setting), or are deemed clinically hormone-resistant taking into consideration the rate of progression of disease or a short interval of time on first line hormonal therapy before progression. Clinically hormone-resistant patients MUST also be discussed with the Study Chair, Study co-chair or designee in advance for approval. NOTE: ASCO-CAP guidelines state that ER and PR assays be considered positive if there are at least 1% positive tumor nuclei in the sample on testing in the presence of expected reactivity of internal (normal epithelial elements) and external controls. HER2-positive is defined as HER2 IHC 3+, ISH ≥ 2.0, or average HER2 copy number ≥ 6.0 signals. NOTE: A patient who has a change in receptor status (e.g. PR negative to positive) may be stratified as triple negative or hormone positive, contrary to the most recent receptor testing, for the purposes of the study, based upon the clinical course at the discretion of the Study Chair, Study co-chair, or designee in advance for approval."
NCT02422641,inclusion,biomarker,HER2 positive,HER2:positive,"HORMONE REFRACTORY: Patients with ER/PR-positive disease according to ASCO-CAP guidelines above may be considered if they have disease progression after two lines of hormonal therapy (administered in the adjuvant or metastatic setting), or are deemed clinically hormone-resistant taking into consideration the rate of progression of disease or a short interval of time on first line hormonal therapy before progression. Clinically hormone-resistant patients MUST also be discussed with the Study Chair, Study co-chair or designee in advance for approval. NOTE: ASCO-CAP guidelines state that ER and PR assays be considered positive if there are at least 1% positive tumor nuclei in the sample on testing in the presence of expected reactivity of internal (normal epithelial elements) and external controls. HER2-positive is defined as HER2 IHC 3+, ISH ≥ 2.0, or average HER2 copy number ≥ 6.0 signals. NOTE: A patient who has a change in receptor status (e.g. PR negative to positive) may be stratified as triple negative or hormone positive, contrary to the most recent receptor testing, for the purposes of the study, based upon the clinical course at the discretion of the Study Chair, Study co-chair, or designee in advance for approval."
NCT02422641,inclusion,biomarker,HER2 mentioned,HER2:unspecified,"HORMONE REFRACTORY: Patients with ER/PR-positive disease according to ASCO-CAP guidelines above may be considered if they have disease progression after two lines of hormonal therapy (administered in the adjuvant or metastatic setting), or are deemed clinically hormone-resistant taking into consideration the rate of progression of disease or a short interval of time on first line hormonal therapy before progression. Clinically hormone-resistant patients MUST also be discussed with the Study Chair, Study co-chair or designee in advance for approval. NOTE: ASCO-CAP guidelines state that ER and PR assays be considered positive if there are at least 1% positive tumor nuclei in the sample on testing in the presence of expected reactivity of internal (normal epithelial elements) and external controls. HER2-positive is defined as HER2 IHC 3+, ISH ≥ 2.0, or average HER2 copy number ≥ 6.0 signals. NOTE: A patient who has a change in receptor status (e.g. PR negative to positive) may be stratified as triple negative or hormone positive, contrary to the most recent receptor testing, for the purposes of the study, based upon the clinical course at the discretion of the Study Chair, Study co-chair, or designee in advance for approval."
NCT02422641,inclusion,prior_therapy,=2 prior lines,==2,"HORMONE REFRACTORY: Patients with ER/PR-positive disease according to ASCO-CAP guidelines above may be considered if they have disease progression after two lines of hormonal therapy (administered in the adjuvant or metastatic setting), or are deemed clinically hormone-resistant taking into consideration the rate of progression of disease or a short interval of time on first line hormonal therapy before progression. Clinically hormone-resistant patients MUST also be discussed with the Study Chair, Study co-chair or designee in advance for approval. NOTE: ASCO-CAP guidelines state that ER and PR assays be considered positive if there are at least 1% positive tumor nuclei in the sample on testing in the presence of expected reactivity of internal (normal epithelial elements) and external controls. HER2-positive is defined as HER2 IHC 3+, ISH ≥ 2.0, or average HER2 copy number ≥ 6.0 signals. NOTE: A patient who has a change in receptor status (e.g. PR negative to positive) may be stratified as triple negative or hormone positive, contrary to the most recent receptor testing, for the purposes of the study, based upon the clinical course at the discretion of the Study Chair, Study co-chair, or designee in advance for approval."
NCT02422641,exclusion,biomarker,HER2 mentioned,HER2:unspecified,"Concurrent or planned systemic chemotherapy, radiotherapy, new hormonal or anti- HER2 directed therapy directed at management of breast cancer (existing anti-HER2 therapy can be continued as recently recommended in the National Consensus Guidelines (26)"
NCT02422641,exclusion,biomarker,HER2 mentioned,HER2:unspecified,"Concurrent or planned systemic chemotherapy, radiotherapy, new hormonal or anti- HER2 directed therapy directed at management of breast cancer (existing anti-HER2 therapy can be continued as recently recommended in the National Consensus Guidelines (26)"
NCT02468024,inclusion,ecog,ECOG 0,0-0,"1.0 1.1 Age \> 18 years. 1.2 ECOG/Zubrod performance status (PS) 0, 1, or 2 (reference Appendix C). 1.3 Radiographic findings consistent with non-small cell lung cancer, including lesions with ground glass opacities with a solid component of 50% or greater. 1.4 The primary tumor in the lung must be biopsy confirmed non-small cell lung cancer within 180 days prior to randomization. 1.5 Tumor ≤ 4 cm maximum diameter, including clinical stage IA and selected IB by PET or PET integrated with a simultaneous CT scan (PET-CT) of the chest and upper abdomen performed within 180 days prior to randomization (reference Appendix A \& B). Repeat imaging within 90 days prior to randomization is recommended for re-staging but is not required based on institutional norms. 1.6 All clinically suspicious mediastinal N1, N2, or N3 lymph nodes (\> 1 cm short-axis dimension on CT scan and/or positive on PET scan) confirmed negative for involvement with NSCLC by one of the following methods: mediastinoscopy, anterior mediastinotomy, EUS/EBUS guided needle aspiration, CT-guided, video-assisted thoracoscopic or open lymph node biopsy within 180 days of randomization. 1.7 Tumor verified by a thoracic surgeon to be in a location that will permit sublobar resection. 1.8 Tumor located peripherally within the lung. NOTE: Peripheral is defined as not touching any surface within 2 cm of the proximal bronchial tree in all directions. See bronchial tree diagram below. Patients with non-peripheral (central) tumors are NOT eligible. 1.9 No evidence of distant metastases. 1.10 Availability of pulmonary function tests (PFTs - spirometry, DLCO, +/- arterial blood gases) within 180 days prior to registration. Patients with tracheotomy, etc, who are physically unable to perform PFTs (and therefore cannot be tested for the Major criteria in 3.1.11 below) are potentially still eligible if a study credentialed thoracic surgeon documents that the patient's health characteristics would otherwise have been acceptable for eligibility as a high risk but nonetheless operable patient (in particular be eligible for sublobar resection). 1.11 To define eligibility of patients being at high risk for surgery, certain criteria must be met. Any one (1) of the following major criteria will define the high risk status for eligibility: Major Criteria"
NCT02468024,exclusion,ecog,ECOG 3,3-3,"2.1 Age \<18 2.2 ECOG/Zubrod performance status (PS) greater than 3. 2.3 Radiographic findings with ground glass opacities and less than 50% solid component will be excluded. 2.4 The primary tumor in the lung, biopsy confirmed non-small cell lung cancer greater than 180 days prior to randomization. 2.5 Tumor \> 5 cm maximum diameter, including clinical stage IA and selected IB by PET or PET integrated with a simultaneous CT scan (PET-CT) of the chest and upper abdomen and/or performed greater than 180 days prior to randomization. 2.6 Lymph node biopsy greater than 180 days prior to randomization. 2.7 Thoracic surgeon confirms unable to remove tumor with sublobar resection. 2.8 Tumor located non-peripheral (central) region of lung (see bronchial tree diagram in 3.1.8). 2.9 Evidence of distant metastases. 2.10 Pulmonary function test (PFT - spirometry, DLCO, +/- arterial blood gases) greater than 180 days prior to registration."
NCT02476786,inclusion,biomarker,HER2 mentioned,HER2:unspecified,Disease must be ER+ and HER2-.
NCT02476786,inclusion,ecog,ECOG 0–3,0-3,ECOG performance status ≤ 3
NCT02526368,inclusion,ecog,ECOG 0,0-0,Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
NCT02584244,inclusion,ecog,ECOG 0,0-0,Subjects with ECOG performance status of 0 or 1.
NCT02594202,inclusion,ecog,ECOG 0–2,0-2,ECOG performance status of 0-2
NCT02596490,inclusion,ecog,ECOG 2,2-2,"ALL PHASES, PATIENTS ONLY: Eastern Cooperative Oncology Group (ECOG) performance status of less than or equal to 2"
NCT02682667,inclusion,ecog,ECOG 0–3,0-3,ECOG performance status of 0-3. 5\. Ability and willingness of subject to provide informed consent Additional inclusion criteria pertinent only for participants undergoing apheresis
